tahun;kesehatan;gizi;perlindungan sosial
2018;54.8;59.3;95.7
2018;55.7;52.2;57.8
2018;63.7;76;60.8
2018;58.5;65.6;52.4
2018;69.6;81;53.6
2018;68.9;65.6;72.3
2018;72.2;69.8;63
2018;80.2;68.7;68.4
2018;83.6;61.5;47.6
2018;78.7;64.3;44.7
2018;79;65.2;46.9
2018;75.1;69.4;68.3
2018;84.2;77.4;73.9
2018;87.1;82.4;80.5
2018;82.3;64.4;66.6
2018;69.7;61.5;62.8
2018;90.8;56.2;49
2018;78.9;87.9;75.4
2018;60.9;77.4;72.9
2018;66.5;72.5;48.5
2018;59.6;69.5;44.6
2018;78.3;62.5;56.7
2018;80;67.7;51.7
2018;75.2;66.7;58.5
2018;75.6;55;69.2
2018;64.5;64.5;68.2
2018;69.9;71.7;66.9
2018;51.4;59.8;70.5
2018;76.5;56.2;77.9
2018;62.4;85.1;83.9
2018;39.6;54.9;75.1
2018;50.4;73.3;63
2018;49.8;58.7;71.9
2018;36.1;65.9;76.7
2019;56;79.3;88.9
2019;57.5;68;51.2
2019;67.8;84;56.9
2019;58;80;48.5
2019;67;80.8;46.6
2019;68.1;81;51.9
2019;71.7;79.3;55.2
2019;78.7;82.4;60.5
2019;78;57.2;43.3
2019;69.3;63.7;44
2019;74.6;78.3;47.4
2019;71.5;81.6;49.7
2019;83.7;88.9;58.8
2019;83.9;92.9;69.3
2019;80.9;78.9;51.3
2019;66.1;76.6;56.9
2019;84.6;78.1;49.6
2019;80.7;89.6;68.6
2019;64.4;88.3;71.7
2019;67.9;81.2;48.1
2019;64.1;71.5;37.2
2019;76.2;81.1;57.4
2019;73.5;83.5;48.6
2019;70.9;83.4;57.7
2019;78.6;62.4;64.1
2019;68.6;74.3;65.2
2019;70.1;82.6;62
2019;59.3;72.2;63.5
2019;79.1;67.9;69.2
2019;65.8;88.7;78.2
2019;47.5;71.7;63.9
2019;56;77.5;54.3
2019;55.9;75.5;73.7
2019;39.9;83.8;67.4
